,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Platelets_mean,0.06082834562146256,-0.04423944706736659,0.06782824426611052,-0.11092004326807228,0.3028039019228218,0.5312238413278229,-0.17391693472234737,-0.10621822376893861,-0.10229488220970862,0.08830593765481147,0.03952225787268557,-0.32062317960343606,-0.02299535196514001,0.007626716398810007
WBC_mean,-0.13944450303627637,0.041483917861711725,0.06423895374470309,-0.2448826558521859,0.299739388909229,0.4174876388474118,-0.11050550784306662,0.046006837441508366,-0.08200545062414889,0.29659248246999825,-0.004935708224485485,-0.07255590804244103,-0.1976773797932583,0.2842330602232418
Na_mean,0.03398906636307857,0.10584859880219384,-0.022221727183705985,0.06399119095441426,-0.15532396549145158,0.12262610218855927,0.4741342820790246,0.20457624601222735,0.42844919901384415,0.4786192646465761,0.01816177863750834,-0.13082023686594269,0.10141065670469837,0.05006244013871867
K_mean,-0.28943092410379084,-0.12224789298091619,0.2068294278588919,-0.012072640110646498,-0.09827027882347145,0.019983456417645533,-0.18135896188373057,-0.16943068781779586,-0.34605431656588315,-0.12443903354520021,-0.0036651744868685873,0.09943662716022814,0.12479996424165561,0.024231772915292625
Glucose_mean,-0.055737596047807064,-0.030832828941642583,0.02272093417155615,-0.2038508700717918,0.08383577394537649,0.12820953221989856,0.06932395041599936,0.44769598934107885,0.13037662357559165,-0.4646686098241447,0.6350722835082506,-0.003629542238996714,0.07045909738562697,-0.12630897416175468
Mg_mean,-0.14440067563828943,-0.17081379259362267,0.07921722696983387,0.08347275027048773,-0.25623835566515923,0.17972839294464613,-0.10051683605540922,-0.1655366683359426,-0.1411693852277,0.3903442257671619,0.35578385642511184,0.35913165239127554,0.09145659006651066,-0.38300677702984937
pH_min,0.35856949360483137,-0.07004428866432777,-0.2340556292609066,-0.15210388421883386,-0.17509927479238926,0.09167401894731637,-0.37303892217577705,-0.1557683717399709,0.2339931251859321,0.0479469607566775,0.10329007946833715,0.07867894625278997,-0.053843087120756035,-0.04892052999851495
PaO2_min,0.11661608572916914,0.08112122029411138,-0.27600163940830386,-0.1922712561574895,-0.25832024218070754,0.03580015506827453,-0.14278372416217772,0.1378235836268117,-0.22048008302521463,0.02839636758519726,-0.00640295417901663,-0.32321190710178077,0.6720923889224188,0.1036102038611797
PaCO2_max,-0.18100789831476566,0.15262881568632428,0.35158686673364153,0.4488067003698475,0.014048516678882976,0.1674986499189737,0.20392856798739833,-0.09780368587578166,-0.03685471635785607,-0.15483306047290063,0.027668468938520326,-0.1443596336592221,0.18519695397020658,0.05427674945678956
FiO2_max,0.004994529092460886,-0.16022210104262177,0.09378963179333698,0.19074173958650653,0.2854258600628845,-0.3173035179924169,-0.08896527774757267,0.11657337220204127,-0.13185267536602424,0.3155808101482455,0.365649011850675,0.061022081099181384,0.2658328794387059,0.45832543427410016
MAP_min_combined,0.3759319677690343,0.002620177573770954,0.27437345760953985,-0.19093228675303986,-0.20554955409262493,0.04376480892738928,0.2546409859024943,-0.015382561131141554,-0.29226802984584194,-0.017696936870619257,0.07471032980468775,0.1332468514480952,-0.10696045865037739,0.16787946722056046
SysBP_min_combined,0.39298374044757234,-0.08536923739881727,0.23044521135250967,-0.13903412276438978,-0.234435164408303,0.08235668364776672,0.28147962519475345,-0.06387927320683709,-0.22139533010370147,-0.06150961241222223,0.08458101940501972,0.021736517592517917,-0.1352126493613874,0.20572246212491724
Urine_sum_24h,0.10296583044364521,0.2898882772457749,0.07179425029110784,0.05703865018770331,-0.02927397070303147,-0.21539572450875308,-0.13958068114456573,0.06333339127824393,-0.1488279551243809,0.30458223027041637,0.3344292401401939,-0.29137003962514524,-0.28219194530940045,-0.3133282454778645
MechVent_documented_24h,-0.2909337229018707,0.4078118351868864,-0.0859917809693082,-0.1011773121137772,-0.28095040118936304,0.1403785725050407,0.007115696926067688,0.01329799408666306,-0.08284420480744095,-0.048236860162886586,-0.0006708560411909836,0.025833386842092486,-0.06748028730215336,0.06867798393954297
