cluster,feature,observed_n,missing_rate,raw_median,raw_q25,raw_q75,standardized_mean
2,MechVent_documented_24h,3740,0.0,1.0,1.0,1.0,0.7862761879917691
3,Age,2836,0.0,62.0,48.0,76.0,-0.2416479187696222
3,Gender,2834,0.0007052186177715081,1.0,0.0,1.0,-0.08101534982361731
3,InitialWeight,2761,0.026445698166431608,75.80000305175781,65.0,89.5,-0.10046472662037222
3,GCS_min,2828,0.0028208744710860323,6.0,3.0,8.0,-0.5489950573483303
3,HR_mean,2831,0.0017630465444288257,86.34782409667969,76.45307922363281,97.37565994262695,-0.0029216049748483834
3,Temp_mean,2831,0.0017630465444288257,37.20000076293945,36.7678165435791,37.64900016784668,0.4009160238448059
3,BUN_mean,2761,0.026445698166431608,15.5,11.0,23.0,-0.3325843951044813
3,Creatinine_mean,2761,0.026445698166431608,0.800000011920929,0.6333333253860474,1.0499999523162842,-0.3077537863488957
3,HCO3_min,2743,0.03279266572637518,23.0,20.0,25.0,0.08749178783867981
3,HCT_mean,2753,0.02926657263751764,32.03333282470703,29.059999465942383,35.79999923706055,0.14687574804281628
3,Platelets_mean,2740,0.03385049365303239,202.0,151.0,266.0,0.05668248514406178
3,WBC_mean,2738,0.034555712270803896,11.633333206176758,8.899999618530273,15.199999809265137,-0.01638833268394369
3,Na_mean,2741,0.03349788434414669,140.0,137.3333282470703,142.0,0.1987763873797909
3,K_mean,2736,0.035260930888575404,3.9000000953674316,3.6500000953674316,4.199999809265137,-0.4015135034427692
3,Glucose_mean,2723,0.03984485190409026,135.0,114.41666793823242,165.16666412353516,0.06622199724759736
3,Mg_mean,2671,0.05818053596614947,1.899999976158142,1.7000000476837158,2.066666603088379,-0.2769251693796028
3,pH_min,2648,0.06629055007052187,7.380000114440918,7.340000152587891,7.409999847412109,0.6003720468288083
3,PaO2_min,2640,0.0691114245416079,119.0,89.0,160.0,0.6973189787068322
3,PaCO2_max,2647,0.06664315937940757,42.0,38.0,46.0,-0.39381085733647797
3,FiO2_max,2759,0.027150916784203116,0.6000000238418579,0.5,1.0,-0.9611412027409811
3,MAP_min_combined,2828,0.0028208744710860323,62.0,56.0,70.0,0.35513969743907486
3,SysBP_min_combined,2814,0.007757404795486589,95.0,86.0,106.0,0.3082098466349434
3,Urine_sum_24h,2814,0.007757404795486589,2085.0000076293945,1313.2499713897705,3109.999969482422,0.14676482875770225
3,MechVent_documented_24h,2836,0.0,1.0,1.0,1.0,0.7717627590401398
4,Age,4105,0.0,66.0,52.0,79.0,-0.023862457693110094
4,Gender,4098,0.001705237515225333,1.0,0.0,1.0,-0.0677693705807628
4,InitialWeight,3332,0.1883069427527405,76.30000305175781,64.5,90.0,-0.07666606487018716
4,GCS_min,3947,0.03848964677222899,15.0,14.0,15.0,1.0010005805122182
4,HR_mean,3949,0.038002436053593214,84.04166412353516,72.69230651855469,97.12000274658203,-0.10325876149430463
4,Temp_mean,3945,0.03897685749086477,36.779998779296875,36.439998626708984,37.150001525878906,-0.18580632214528614
4,BUN_mean,3933,0.04190012180267966,18.0,12.0,26.0,-0.23669347841504307
4,Creatinine_mean,3932,0.042143727161997546,0.8999999761581421,0.699999988079071,1.2000000476837158,-0.2591111306526674
4,HCO3_min,3922,0.04457978075517666,24.0,21.0,26.0,0.263865040692186
4,HCT_mean,3938,0.0406820950060901,32.5,29.066667556762695,36.54999923706055,0.2106454653682394
4,Platelets_mean,3901,0.049695493300852656,212.0,156.5,279.0,0.1487169703693301
4,WBC_mean,3890,0.052375152253349544,10.600000381469727,7.800000190734863,13.850000381469727,-0.1890408451094849
4,Na_mean,3919,0.04531059683313032,139.0,136.5,141.0,-0.07181820301991824
4,K_mean,3946,0.03873325213154688,3.950000047683716,3.700000047683716,4.25,-0.30250030175193393
4,Glucose_mean,3909,0.047746650426309434,127.0,108.0,155.0,-0.07016422098472208
4,Mg_mean,3758,0.08453105968331298,1.899999976158142,1.75,2.0999999046325684,-0.14157538454860813
4,pH_min,1376,0.6647990255785627,7.389999866485596,7.340000152587891,7.429999828338623,0.28928397203295947
4,PaO2_min,1330,0.6760048721071863,84.0,68.0,110.0,-0.1755096539191763
4,PaCO2_max,1331,0.6757612667478685,41.0,36.0,47.0,-0.20705044271068876
4,FiO2_max,642,0.843605359317905,1.0,0.699999988079071,1.0,0.40837138108911125
4,MAP_min_combined,3941,0.039951278928136436,62.0,54.33000183105469,70.0,0.30868016322785674
4,SysBP_min_combined,3908,0.04799025578562732,97.0,87.0,109.0,0.4026454179150578
4,Urine_sum_24h,3914,0.04652862362971988,1824.9999389648438,1187.2500286102295,2723.7499656677246,-0.06629085446454083
4,MechVent_documented_24h,4105,0.0,0.0,0.0,0.0,-1.144377980416908
